area_sqft,bedrooms,bathrooms,stories,house_age_years,parking_spaces,distance_to_city_km,location_score,furnished,price_inr
3058,1,1,2,30,0,5.9,4,Yes,947483
2547,5,5,1,9,1,29.3,6,No,2049090
3247,3,4,2,21,0,25.7,4,Semi,1000870
1475,5,5,3,9,0,15.5,10,Semi,2664884
2306,3,3,3,20,1,18.5,7,Semi,1535968
689,4,3,1,14,2,7.6,1,Semi,1016373
3505,5,5,2,16,3,16.8,3,No,1596515
3234,4,5,2,21,1,21.2,3,No,1128713
3505,2,2,3,5,2,15.9,1,No,1105640
1062,2,1,3,2,1,29.7,6,No,1062326
2399,1,2,2,12,2,18.7,9,Semi,1744539
1767,5,5,1,15,1,11.8,8,Semi,2358104
3379,4,4,3,7,2,23.4,7,Yes,2799277
2028,3,4,1,29,1,5.9,10,Semi,2014987
3702,2,2,1,14,2,12.2,8,No,1854749
1146,2,3,3,16,1,11.1,6,Yes,1704660
2568,3,3,1,16,3,13.5,9,Yes,2495889
3388,4,4,1,21,3,23.7,3,Semi,1100656
2714,4,5,2,25,0,15.0,10,Semi,2332755
1797,5,5,1,12,2,24.0,10,Yes,2963707
2935,5,4,2,16,1,17.7,9,Semi,2806148
1100,1,1,3,5,2,10.9,4,Yes,1397264
2863,2,2,3,16,3,24.5,7,No,1460848
2561,5,5,2,15,2,7.9,9,No,3004318
741,4,5,3,13,1,7.5,2,Semi,1706279
2541,3,3,1,12,2,15.6,2,Semi,1218230
3324,4,4,1,5,1,8.6,9,Yes,3219469
3917,2,1,1,2,3,1.3,3,Yes,2067595
3112,4,3,3,13,3,19.8,9,Semi,2409539
3445,1,2,1,13,3,15.8,5,No,1238714
1863,2,2,3,14,0,13.9,6,Yes,1395959
2639,3,4,1,7,3,29.0,2,Semi,1133714
1890,1,1,2,28,2,17.6,8,No,1018290
3503,2,1,3,14,0,26.0,9,Semi,1861820
1978,3,3,3,21,3,5.0,2,Semi,1001210
3999,1,1,1,28,2,17.5,6,Yes,807042
3056,1,1,3,26,2,26.2,6,Semi,649639
1275,2,3,3,12,2,17.9,8,No,1596686
534,5,5,2,16,1,21.8,10,Yes,2558255
2753,1,1,2,30,0,11.8,5,Semi,500000
3652,1,2,1,20,2,3.7,9,Semi,2157396
2455,3,4,2,23,1,14.3,1,No,701479
2085,4,3,1,2,3,12.4,9,Semi,2794008
3959,2,2,1,27,2,26.1,10,No,1462543
3573,2,3,1,5,1,8.1,7,No,2130489
1521,5,5,3,4,2,29.0,4,Semi,1673264
3961,5,5,2,21,0,28.8,3,No,1390127
3113,2,2,1,25,0,8.2,10,Semi,1712606
1629,5,5,2,16,3,11.1,6,No,2103918
2000,3,3,1,22,2,27.0,1,Semi,512537
1202,2,1,2,24,1,29.0,3,No,500000
2949,5,5,2,1,3,13.9,2,No,2807314
3277,2,2,1,25,2,10.3,9,No,1807629
2079,4,4,3,14,3,16.3,3,Yes,1770902
661,1,1,2,4,1,20.9,2,Yes,500000
701,2,1,3,25,3,8.9,4,No,529705
2481,1,1,3,19,3,22.4,2,Yes,500000
1495,5,5,1,5,3,2.5,1,Semi,2131181
2817,1,2,1,5,2,2.4,6,Yes,1815076
1315,2,3,1,26,1,12.2,10,Semi,1628212
3842,4,4,2,17,0,11.3,8,Semi,2510475
955,5,5,1,17,2,10.2,10,No,2667744
1775,2,3,1,3,0,15.2,10,Semi,2038554
1516,5,5,2,16,0,10.3,2,Yes,1729784
2843,3,4,2,24,2,6.6,9,Semi,2550592
3267,1,1,1,13,2,10.0,3,No,728169
837,3,4,1,13,1,29.3,8,No,1193346
1378,2,1,1,12,1,12.9,8,Semi,1583692
1576,4,3,1,6,3,13.9,3,Semi,1511751
1291,5,5,3,11,0,17.7,3,Semi,1682889
2764,1,1,3,22,1,29.5,6,Yes,1055652
1263,5,4,1,14,3,8.0,1,No,1240080
2735,2,2,3,18,1,20.8,4,No,1170300
879,5,5,2,30,2,21.8,1,Yes,742779
992,1,2,3,10,1,18.6,3,No,500000
3612,2,2,3,14,0,3.6,9,No,2398827
1680,5,5,1,11,1,20.6,5,Semi,1941795
2562,4,4,3,2,0,2.9,5,Yes,2791032
564,2,2,3,16,2,18.3,4,No,575651
3068,2,3,3,2,0,22.4,3,Yes,1630322
1867,4,5,3,18,1,7.1,5,Yes,1826387
1652,3,3,2,19,3,25.4,4,No,956738
2527,1,2,1,3,2,1.9,8,Semi,2505865
3195,3,3,1,2,1,25.5,4,Semi,1319823
1995,5,5,2,25,2,14.3,8,Semi,2193380
3634,4,5,3,15,2,7.3,6,Yes,2689185
1662,3,3,2,11,1,4.9,5,Yes,1679670
2022,2,1,3,7,1,28.6,4,No,500000
3140,5,5,2,23,3,3.1,4,Semi,2090150
891,5,5,1,28,2,6.8,4,Semi,1416752
2198,3,3,1,28,2,11.1,9,Semi,1944985
918,3,3,1,16,1,19.0,4,Semi,626151
2836,4,5,3,6,0,16.8,9,No,2873471
878,1,1,3,10,1,4.6,10,Semi,1982575
2296,3,2,2,17,2,9.4,6,Semi,2004233
2778,3,4,2,0,1,7.9,10,No,3185326
3565,2,1,1,2,3,7.2,7,Yes,2614848
2588,5,5,3,3,0,12.9,10,Yes,3684214
3599,1,2,2,12,1,21.4,3,Semi,756458
2682,2,3,3,5,3,7.3,8,No,2452152
700,4,3,3,25,2,11.6,3,Semi,1222036
2363,4,5,1,13,1,12.3,1,No,933696
1279,3,4,1,4,2,29.3,10,No,2004904
3477,3,4,3,15,3,28.7,5,Semi,1523814
3604,4,4,3,14,2,24.2,2,No,1525884
3619,3,2,3,14,3,8.0,10,No,2675530
1002,1,2,3,29,3,3.0,6,No,1033035
2954,3,3,1,3,3,10.2,10,No,2882101
2251,5,5,2,7,1,8.7,9,No,2774383
1304,3,3,1,26,2,15.7,1,Yes,500000
2646,2,2,2,15,2,23.6,4,No,900191
3231,1,1,3,27,0,25.9,1,No,500000
2395,2,3,2,15,0,25.5,1,No,500000
3273,2,1,1,29,0,11.4,8,Yes,1478055
2070,5,5,1,3,0,20.9,2,Semi,1871726
1460,1,1,3,12,2,10.1,1,Semi,893892
3160,1,1,1,25,3,2.8,8,Yes,1646860
1985,1,1,3,27,3,21.3,4,Semi,500000
3190,1,2,1,12,1,1.3,3,No,1236974
1528,1,1,1,1,3,12.9,4,No,1046597
3789,5,5,3,30,2,10.6,5,Semi,2051969
1002,3,2,2,2,2,21.1,1,No,816482
3314,2,2,1,21,2,23.2,1,Semi,679015
897,1,1,2,7,1,9.8,3,No,808174
1370,3,2,1,23,0,24.5,6,Semi,844688
3342,3,3,1,14,3,9.5,1,No,1543474
892,2,1,1,10,2,13.9,2,No,655516
706,5,5,1,30,2,22.1,7,Semi,1220927
1538,4,5,2,8,0,21.1,1,Yes,1529069
2381,4,5,2,6,2,29.6,7,Semi,2471146
3439,3,3,1,12,3,7.5,4,Semi,2058856
1984,2,2,1,1,1,20.2,10,No,2051940
1363,4,4,2,7,2,18.7,6,No,2071180
3290,3,3,3,6,3,27.5,8,No,2301057
3812,5,5,3,23,2,5.5,9,No,2847604
1063,4,5,2,11,0,22.8,6,No,1505006
1520,3,3,1,18,2,17.5,9,No,1832770
595,3,2,1,6,2,9.0,4,Yes,1389052
2423,1,1,3,9,1,14.8,6,No,1155060
2257,5,5,3,28,0,10.7,8,Semi,2364369
3032,1,1,2,24,0,17.8,9,Semi,1214842
3978,2,3,3,15,1,26.8,3,Semi,1244935
2778,1,1,2,2,2,17.5,2,Semi,811317
3296,1,2,3,29,3,19.3,6,No,1024677
2178,4,4,3,9,0,16.0,4,No,1628235
3742,3,3,3,5,0,2.5,1,Semi,1673021
1040,5,5,1,17,2,7.8,8,Yes,2506238
1559,1,1,1,17,2,15.3,9,No,1448292
3072,5,4,1,4,0,10.0,9,No,2917358
1683,1,1,3,20,2,6.3,2,Yes,1121690
2222,2,1,2,28,3,15.6,9,No,908768
3814,1,2,2,6,0,10.4,7,Semi,1688190
3657,4,3,2,27,3,8.5,5,Semi,2089113
2319,3,2,2,1,3,14.5,7,No,2553529
3125,2,3,1,10,2,4.9,9,Semi,2354578
3229,1,1,1,29,3,27.9,8,Semi,811121
3104,5,5,3,12,2,26.2,6,No,2441914
2097,2,2,3,22,1,21.5,4,Semi,678672
3560,2,2,2,4,2,4.1,1,Yes,1765276
3193,1,2,1,29,3,23.5,6,Semi,724208
1295,2,3,2,5,1,24.4,3,No,611440
1551,5,4,3,23,2,23.3,6,Semi,1639641
2143,2,2,3,25,3,4.3,6,Semi,1515466
1863,5,5,2,28,0,19.7,4,Yes,1411402
2481,1,1,3,13,0,25.2,2,Semi,500000
1854,3,4,2,11,2,17.7,9,No,2351885
2163,2,3,1,3,2,19.7,2,Semi,1185149
2029,3,2,2,28,0,14.3,3,Semi,500000
2538,5,4,1,22,3,16.3,10,No,2813172
3919,2,3,1,5,3,2.0,1,Semi,1718035
1996,4,4,3,9,3,19.5,7,No,2266083
3802,3,3,3,17,2,3.4,1,Semi,1699868
2737,2,2,3,14,1,13.6,9,No,2301780
3796,3,4,2,7,1,9.5,1,Semi,1853367
1908,2,3,2,25,1,16.8,5,Yes,1177140
1900,1,1,3,8,1,4.9,7,Yes,1709208
1806,3,3,2,4,1,21.1,3,Yes,1533233
3180,4,5,3,9,2,24.1,9,Yes,2909093
3175,4,3,2,19,2,5.7,8,No,2510743
1472,5,5,1,5,1,4.0,3,Semi,2353414
2268,2,3,1,15,2,5.2,5,Semi,1867221
1782,3,3,3,23,2,26.4,7,Yes,1097258
3930,5,5,2,26,1,16.3,4,No,1636396
1209,3,2,2,30,3,14.6,5,Yes,1236665
1979,2,1,1,2,2,4.1,3,Semi,1211445
1934,4,4,1,9,3,19.8,9,Yes,2813137
1148,1,2,3,10,2,26.2,10,No,1755760
817,4,4,1,10,2,25.0,9,No,1966959
3796,5,4,3,16,1,19.2,7,Yes,2417416
1757,1,1,1,3,2,3.2,10,No,2159386
1183,5,5,1,30,0,4.3,2,Yes,1458003
1163,2,2,2,3,0,2.4,7,No,2151363
2498,1,1,1,16,1,8.5,7,Semi,1334558
3945,5,5,1,8,3,4.9,5,Semi,2811697
2131,2,1,3,18,3,8.5,9,Semi,2293991
1995,4,4,1,4,3,12.2,3,Semi,2141866
3804,2,3,3,21,0,28.3,4,No,668148
1636,3,4,1,23,3,18.7,1,No,583633
2353,2,2,1,5,3,25.2,6,No,1501955
2020,2,1,3,2,1,21.6,4,Semi,1168977
2989,3,2,2,21,3,4.3,1,Semi,1208179
1063,5,5,3,0,0,22.3,2,Semi,2002954
1791,5,5,3,19,0,9.0,3,Semi,1699055
3957,2,2,3,21,0,19.5,9,Semi,2027248
3958,3,3,2,15,1,10.9,8,Semi,2058976
3684,3,3,1,22,1,29.9,7,No,1664908
2136,4,4,3,10,2,8.6,4,No,2059803
3499,5,4,3,12,3,9.1,1,Yes,2465464
3652,1,2,2,26,1,28.0,8,Yes,1216710
1198,5,4,3,9,0,1.7,4,No,1959906
2660,5,5,1,2,0,21.2,3,Semi,2012252
501,4,4,2,8,1,22.0,9,Yes,1976475
1141,1,1,1,27,1,25.3,10,Semi,821790
2767,4,4,1,11,1,29.3,4,No,1385438
2089,1,2,2,22,2,29.3,4,No,500000
1354,2,3,3,13,0,2.9,9,Semi,2291706
2259,1,2,1,0,2,24.8,2,Yes,1013374
3796,4,4,1,17,2,19.7,5,Semi,2005009
2932,5,5,1,16,3,19.8,4,No,2075977
3974,1,1,1,26,0,4.7,9,No,1328959
2161,1,1,2,8,0,19.9,5,Yes,941106
1653,3,4,2,8,1,29.5,9,Yes,1849979
1576,5,5,1,22,1,27.4,9,Semi,1970741
2207,2,1,3,9,3,13.7,2,Semi,1211138
3277,4,5,1,18,2,2.2,9,No,2586609
2195,2,2,3,28,1,11.5,3,Yes,1033268
2233,5,5,1,14,1,25.0,4,Yes,1658920
1939,1,2,3,4,0,21.3,1,No,500000
2794,1,1,1,14,0,14.3,1,Semi,564488
1335,5,5,3,19,1,2.6,1,No,1155157
702,1,2,1,22,0,13.4,9,No,1054912
3755,1,1,1,29,3,14.6,8,No,1255702
622,1,1,3,24,1,27.9,5,No,500000
900,4,4,2,27,0,19.6,5,No,762901
1266,4,4,3,1,3,10.0,9,Semi,3193384
793,3,3,2,12,0,16.2,3,Semi,1136467
2827,2,2,1,23,0,2.9,3,Semi,693914
3431,5,4,3,15,0,29.2,7,No,2238327
697,5,5,3,14,1,11.4,9,No,2718017
3529,5,4,3,24,2,14.9,6,Semi,2285469
2430,3,2,2,9,0,11.3,2,Semi,1103065
3299,4,3,2,13,3,20.8,1,No,1437202
2691,3,3,1,9,1,20.2,2,Yes,1375876
1108,5,5,2,24,1,21.7,1,Semi,644067
3772,2,2,2,13,3,8.8,10,Yes,2707836
1647,1,2,1,25,0,10.2,10,Semi,1423890
686,4,5,3,29,2,4.6,9,No,2114105
3897,4,3,3,22,0,20.0,10,Semi,2576937
3011,3,3,1,30,3,2.2,8,No,1805484
3920,4,3,3,8,1,18.3,7,Semi,2368119
2294,5,5,2,24,2,26.2,3,No,1602768
1159,5,5,1,13,1,26.8,8,Yes,1901059
3311,3,2,1,2,3,14.0,2,No,1496009
3502,5,5,1,19,0,14.3,2,Yes,1798215
2455,2,2,3,15,2,3.2,10,Yes,2794395
2950,3,3,1,1,1,20.5,3,Semi,1719861
1869,2,1,1,9,1,24.8,7,Semi,1617447
2486,1,1,1,2,1,8.1,1,Semi,873812
2034,2,2,3,10,0,13.2,8,Yes,1848983
646,1,1,2,10,2,25.3,7,Semi,884235
3719,1,1,1,20,0,26.4,4,Yes,500000
3411,2,2,2,20,0,8.1,5,Semi,1329187
2234,3,3,3,21,0,17.0,10,Yes,1985272
2343,5,5,3,12,3,6.6,1,Semi,2237870
988,5,5,3,6,3,4.0,4,Semi,2644589
3476,1,1,3,22,3,27.4,1,Yes,500000
2459,1,1,2,16,2,24.8,1,Yes,500000
2163,3,3,1,29,0,23.0,10,Semi,1243273
3098,4,5,3,1,0,2.4,1,No,1989733
2885,2,1,3,11,3,25.5,7,Semi,1652519
3419,1,2,2,24,0,13.7,7,Yes,1016508
1140,5,5,2,9,0,10.9,4,Yes,2253811
2302,3,3,3,17,1,16.8,2,Yes,688369
3020,2,2,1,21,0,3.6,3,No,673315
2469,3,3,1,26,1,22.9,8,Semi,1615445
2698,2,2,3,10,0,17.9,8,Semi,1734541
1938,2,2,2,15,2,6.4,6,Yes,1661755
3869,1,1,3,16,3,6.5,10,No,2513180
2134,3,4,3,18,1,6.3,9,Yes,2423905
762,3,2,2,17,3,2.7,9,Semi,2262079
2287,5,4,3,2,1,18.0,4,No,2433014
2691,5,5,3,20,1,25.4,1,No,1235515
2893,1,2,3,26,1,1.5,1,No,500000
1123,1,1,2,25,2,2.4,10,Semi,1398423
1516,4,4,1,15,0,17.6,5,No,1836332
1380,5,5,1,5,1,24.8,2,No,1335106
2549,2,2,2,24,2,10.5,6,Yes,1983859
3444,3,3,1,11,1,11.1,7,No,2385034
1827,1,2,3,10,0,18.3,1,No,500000
2801,3,2,1,14,1,9.0,6,Semi,1792682
952,3,3,3,14,2,1.8,8,Semi,2182692
3608,4,4,1,15,0,22.3,5,Yes,1840936
1683,5,5,2,9,2,19.1,7,Semi,2376470
3562,1,1,1,11,0,17.8,10,Yes,1939707
2556,3,3,1,27,0,22.5,6,Semi,697385
3804,1,1,1,12,3,20.6,4,No,724881
3670,2,1,2,3,3,7.0,7,No,2564783
2182,4,5,1,6,3,11.2,10,Semi,2862544
3363,2,3,2,21,0,4.7,9,Semi,2262345
2755,1,1,3,1,1,4.8,10,Semi,2249911
1654,1,1,1,25,2,20.6,10,Semi,1171055
903,5,5,2,26,2,25.9,7,Semi,1557675
2699,3,3,2,26,2,28.9,5,No,1081157
2601,3,2,1,26,3,19.2,7,No,1178421
3691,2,2,3,14,0,6.3,3,Semi,1075163
2196,4,5,2,30,3,4.1,2,Semi,1348933
1127,3,3,1,7,1,24.6,5,Semi,1291599
1086,5,4,3,6,0,17.8,4,No,1766724
2148,2,3,2,30,2,18.9,5,Semi,877659
1943,2,2,2,14,3,23.7,8,Yes,1635650
1945,5,5,3,22,3,21.4,4,No,1427687
603,4,5,3,13,1,25.2,9,Semi,1963603
753,5,5,1,30,1,2.6,7,Yes,1897702
3798,4,5,1,7,3,22.7,10,No,2926757
3683,5,5,2,27,1,25.7,7,Semi,2418542
3057,5,4,3,11,2,9.3,8,No,3168679
1996,1,1,3,12,1,19.6,6,Semi,1222888
598,2,3,3,29,1,10.1,8,No,1190422
2700,5,5,2,10,3,28.8,3,Yes,2089959
2384,5,4,3,16,3,2.0,10,Semi,3364020
3461,3,3,3,30,0,17.8,10,Yes,2077371
2419,2,1,2,28,0,5.8,1,Semi,500000
1377,3,4,1,16,3,21.7,6,Semi,1118824
837,2,1,1,23,1,6.1,1,Semi,500000
3369,3,4,2,3,1,7.8,9,Yes,3143166
3734,5,5,3,20,0,15.3,2,Yes,1774805
1456,5,4,2,7,0,27.5,2,Semi,1189483
2204,1,1,1,4,0,7.1,7,Yes,1823355
660,3,3,1,25,2,5.2,2,Semi,801966
2103,4,3,2,15,2,23.0,10,Semi,2352403
3348,1,1,2,3,0,15.5,8,Semi,2023780
897,3,2,1,27,1,27.4,6,No,518279
1800,3,3,2,21,0,5.3,7,No,1532553
1315,1,1,1,28,2,19.7,7,No,500000
2027,5,5,2,14,1,7.8,6,Semi,2125513
2419,3,2,2,11,2,5.5,10,Semi,2563741
1915,5,5,2,4,1,20.8,9,Semi,2804367
1658,1,1,1,29,2,18.2,9,Yes,1254079
1718,5,5,2,22,1,22.9,7,Semi,1937416
900,2,3,1,15,1,10.0,9,Semi,1486798
1139,4,5,1,13,1,14.0,10,No,2497045
3604,3,3,2,9,1,12.8,3,No,1787481
3235,4,3,2,6,3,29.5,3,Yes,1818660
959,5,4,1,12,2,9.5,1,Semi,1519366
1454,3,3,1,19,2,9.5,5,Yes,1059993
969,5,5,3,27,3,11.3,4,No,1071042
3946,2,1,1,28,1,17.4,2,Semi,500000
1545,1,2,3,4,1,8.3,9,No,2077427
3297,3,3,3,28,2,27.5,3,No,981749
2193,2,2,3,2,3,8.7,8,No,2214483
2585,2,2,2,14,1,27.0,6,No,906638
2777,3,4,2,3,1,4.0,5,No,2340809
3936,5,4,1,14,1,20.0,1,No,1329863
1062,2,2,3,13,0,27.3,4,Yes,674806
2985,4,3,2,19,3,5.9,3,No,1598935
2299,2,3,2,18,1,29.1,1,No,500000
3854,5,5,2,12,0,14.1,5,No,2552124
2574,5,5,2,9,3,28.4,6,Semi,2362544
725,4,4,2,20,1,20.6,2,No,973306
3848,2,2,3,4,2,9.7,3,Yes,2131765
1297,5,5,3,26,0,6.5,6,Yes,2288661
2831,3,3,3,22,0,9.8,4,No,1109682
3426,1,1,3,19,1,3.7,9,Semi,1841518
1459,1,1,1,28,1,5.2,5,No,500000
2004,1,1,3,19,0,4.0,4,Semi,850110
952,2,1,2,24,2,13.3,2,Semi,500000
3567,4,3,3,5,2,24.1,6,No,2332912
1315,5,5,1,30,3,5.1,10,No,2744359
1158,3,4,2,3,1,4.8,2,Semi,1793270
1046,3,2,3,1,2,19.7,7,Semi,1928117
1715,2,2,3,21,3,6.7,3,No,965611
3620,1,2,3,15,2,3.8,9,Semi,2602490
516,2,1,2,17,1,5.8,5,Semi,1083618
3743,4,3,2,4,3,27.8,8,Yes,3057261
1743,4,3,1,21,3,24.8,6,No,1181857
2705,5,4,2,3,3,11.3,10,Yes,3521301
3024,5,4,2,29,2,20.0,8,Semi,1923852
1569,4,3,3,12,1,16.6,3,No,1255062
3944,4,5,2,18,3,20.6,3,Semi,1663529
3065,4,4,3,22,0,20.8,5,Semi,1634835
2646,2,1,3,1,1,19.2,10,Yes,2597510
2268,4,4,2,12,0,8.7,3,No,1841720
1560,3,4,1,10,0,2.1,8,Semi,1971453
2827,1,2,1,29,3,14.2,10,Semi,1318917
3920,4,3,2,21,3,26.8,8,Yes,2395604
3044,1,2,1,28,2,17.5,2,No,500000
801,2,1,3,3,2,25.1,4,Yes,1179744
680,1,1,3,21,2,29.8,10,Yes,1349894
1106,2,2,2,19,1,5.7,1,No,500000
3670,3,4,1,19,2,21.1,4,Yes,1456929
1199,2,3,1,14,0,20.6,4,Yes,718448
1492,2,2,3,3,2,29.4,10,No,1596237
1639,5,5,2,8,3,29.6,9,Semi,2668927
690,4,4,1,6,2,20.9,3,Semi,1297587
2800,4,4,2,18,1,8.1,2,No,1299578
1480,3,3,1,18,1,24.2,9,No,1286983
3475,3,2,3,5,0,4.1,9,No,2744806
2506,4,4,3,5,1,23.6,1,No,1242343
1684,5,5,2,19,2,27.4,6,Semi,1833002
3827,4,5,3,14,3,12.1,10,No,3309012
3894,5,4,1,14,1,19.3,8,Yes,2675396
627,3,3,3,24,0,13.5,3,Semi,590116
2565,1,2,2,19,2,13.7,9,No,1597588
2316,3,2,2,8,0,10.0,2,Semi,1241687
2258,3,3,2,3,1,23.1,6,Semi,2123369
3113,2,2,1,17,1,28.1,1,Yes,500000
1069,2,3,1,17,0,28.3,7,No,947125
1846,2,1,1,4,2,6.1,3,No,1329672
2395,2,1,1,19,1,26.4,7,Yes,818785
3233,5,5,1,22,3,22.4,4,Yes,1831452
1125,4,5,3,29,1,8.3,9,Semi,2091342
3859,1,1,1,10,2,3.0,5,Yes,1975940
3401,3,3,1,4,1,8.8,3,No,2119186
2186,5,5,3,21,0,27.5,8,Semi,1953834
3509,1,2,1,25,1,19.4,6,No,771566
654,5,5,2,3,1,21.9,2,No,1669204
3037,5,5,1,28,2,8.5,3,Yes,1793751
1909,3,4,1,11,0,21.9,8,No,2017057
1284,4,3,2,1,2,1.8,10,Semi,2928518
3675,2,2,2,12,1,11.9,7,Yes,2226044
3964,4,4,2,9,3,19.2,10,No,3158798
745,3,4,2,8,1,5.2,6,Yes,2361467
3747,3,3,1,9,2,24.9,1,Yes,1298129
3610,3,4,2,30,3,7.8,9,Semi,2455274
2000,1,1,2,6,2,19.9,3,No,697655
2205,4,4,3,3,2,12.8,5,No,2207650
3306,4,4,2,18,0,18.3,7,Semi,1867083
1037,5,4,2,9,3,4.1,7,No,2359708
2390,5,4,3,29,1,1.5,3,No,1478255
2341,5,5,3,30,2,27.4,4,Yes,1522448
1420,3,3,1,2,1,8.8,10,No,2498136
2955,4,4,3,24,0,24.8,7,Semi,1727534
1024,3,3,1,20,0,30.0,8,No,1146598
3375,1,1,3,28,3,7.1,2,Semi,566852
2029,5,4,3,30,0,8.7,9,Yes,2768973
3450,3,3,1,18,0,20.2,7,No,1661944
535,3,2,3,30,1,29.0,8,No,615853
1184,1,1,1,20,0,27.6,6,Semi,500000
519,2,3,3,1,0,15.6,6,Semi,1476957
2868,4,4,2,26,2,24.1,9,Semi,1989111
3059,2,2,3,19,0,4.9,4,No,844033
899,5,5,1,9,2,29.3,5,No,1840358
3201,3,4,3,1,0,29.0,9,Yes,2199190
1471,1,1,1,1,0,5.7,1,Yes,884795
2406,1,2,1,27,3,9.7,4,Semi,500000
3018,4,4,2,23,3,3.9,7,Yes,2434528
1666,2,1,2,16,2,8.9,9,Semi,1684393
1615,4,3,1,15,0,24.7,10,Semi,2264813
3925,3,2,3,15,1,12.0,6,No,1712915
1333,4,3,1,13,3,3.6,8,Semi,2569507
2323,1,1,1,6,1,10.9,9,Semi,2064512
3274,1,1,3,20,3,29.5,10,No,1040903
2482,5,5,3,30,3,19.3,4,Semi,1513497
1353,5,5,3,10,0,13.1,1,Yes,2003243
550,3,3,3,23,3,5.8,8,Semi,1622341
1074,2,3,1,0,1,29.6,2,Semi,959010
3761,4,3,1,10,3,24.8,1,Yes,1513764
1648,3,4,2,22,2,9.2,7,No,1695642
2697,5,5,1,20,0,3.0,10,Semi,2912968
2861,4,3,3,3,0,2.6,9,Yes,3356643
3117,5,4,2,6,2,4.5,9,Semi,3236545
3913,4,3,3,25,2,17.8,3,No,1297464
2852,2,2,1,14,2,27.9,6,No,1142568
2215,3,2,2,17,3,15.4,7,Yes,1950539
1181,4,4,3,11,0,25.4,10,Semi,2325441
1337,1,1,2,30,2,13.9,9,Yes,953796
1577,1,1,2,16,3,21.5,2,Semi,500000
3550,4,5,1,0,2,22.2,8,Semi,2976766
2991,4,4,3,10,1,6.0,7,Yes,2603854
3160,4,5,2,27,1,11.5,4,Semi,1520653
3540,1,2,2,0,0,19.5,2,Semi,988509
2811,1,1,3,14,3,3.1,8,Semi,1884972
3624,4,4,2,27,1,11.5,5,Yes,1794054
2095,5,5,2,20,1,16.5,6,Semi,2135025
3551,5,4,2,9,3,29.9,7,Semi,2413857
504,2,1,3,6,2,14.8,10,No,1961230
1626,3,2,3,1,3,24.7,1,Yes,1341189
1719,5,5,3,9,2,13.5,8,No,2646691
1273,1,1,3,23,1,24.1,4,Semi,500000
1376,5,5,1,3,1,18.3,9,Semi,2960853
1491,2,2,2,11,1,26.7,1,Semi,500000
3431,2,2,3,18,0,12.9,2,Semi,1033869
3921,3,3,2,25,0,18.5,6,No,1577329
546,5,4,2,10,0,19.3,10,Semi,2504069
3414,1,1,1,7,3,13.1,1,Yes,726296
3370,1,2,3,17,1,5.2,4,Yes,1550308
3483,4,3,3,10,1,3.7,8,No,2703180
3203,1,1,2,10,3,1.5,10,Yes,2984894
768,3,2,3,12,0,26.3,5,Semi,1032608
869,3,2,2,2,3,7.9,9,Yes,2581381
1135,1,2,2,11,0,7.1,6,Semi,1343772
1629,1,1,1,2,1,22.3,1,Semi,500000
2193,4,4,1,9,2,10.3,6,Yes,2113008
2182,1,1,1,26,0,15.7,6,Yes,785611
1156,4,4,2,16,1,5.7,6,Semi,1892583
619,4,4,3,21,1,28.8,8,No,1662131
1330,1,1,1,1,2,25.7,6,Semi,1089502
